img,real,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
63.106,91.1383,97.8757,92.86,98.2866,94.168,91.451,86.101,90.8565,90.9266,96.8077,90.2288,98.2999,98.3631,98.6099,98.5432,97.578,91.9861,92.2684,92.1755,92.027,90.5204
69.631,92.617,96.94,93.616,98.55,93.775,96.537,89.216,96.273,93.932,97.453,93.135,99.304,99.094,99.456,99.149,98.439,99.629,99.235,99.372,99.329,98.093
,,,,,,,,,,,,,,,,,,,,,
img,real,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
0.93668,0.99377,0.99398,0.95288,0.96453,0.96029,0.97981,0.94101,0.96957,0.94929,0.99713,0.942,0.99191,0.9943,0.99268,0.9926,0.95767,0.98498,0.987,0.75698,0.96164,0.97533
